Galaxy identifier,Assumed distance (Mpc),Galactocentric radius (kpc),Galactocentric radius (m),Observed circular velocity (km/s),Observed circular velocity (m/s),Uncertainy in v obs (km/s),Gas velocity contribution (km/s),Gas velocity contribution (m/s),Disk velocity contribution (km/s),Disk velocity contribution (m/s),Bulge velocity contribution (km/s),Bulge velocity contribution (m/s),Disk surface brightness (solLum/pc2),Bulge surface brightness (solLum/pc2)
CamB,3.36,0.16,4.9376E+18,1.99,1990,1.5,1.86,1860,3.75,3750,0,0,30.32,0
CamB,3.36,0.41,1.26526E+19,4.84,4840,1.5,4.24,4240,9.47,9470,0,0,23.77,0
CamB,3.36,0.57,1.75902E+19,6.79,6790,1.5,5.61,5610,11.76,11760,0,0,15.87,0
CamB,3.36,0.73,2.25278E+19,8.87,8870,1.5,6.77,6770,13.72,13720,0,0,12.4,0
CamB,3.36,0.9,2.7774E+19,10.9,10900,1.5,7.77,7770,14.8,14800,0,0,9.63,0
CamB,3.36,1.06,3.27116E+19,12.9,12900,1.5,8.44,8440,15.24,15240,0,0,5.86,0
CamB,3.36,1.22,3.76492E+19,14.7,14700,1.5,8.64,8640,15.11,15110,0,0,5.19,0
CamB,3.36,1.47,4.53642E+19,16.8,16800,1.5,8.08,8080,15.9,15900,0,0,3.02,0
CamB,3.36,1.79,5.52394E+19,20.1,20100,1.5,6.91,6910,14.91,14910,0,0,0.88,0
D512-2,15.2,0.96,2.96256E+19,22.9,22900,2.71,4.08,4080,14.85,14850,0,0,16.45,0
D512-2,15.2,1.92,5.92512E+19,33.5,33500,2.71,6.24,6240,21.2,21200,0,0,7.4,0
D512-2,15.2,2.88,8.88768E+19,37.2,37200,4.19,7.45,7450,20.56,20560,0,0,2.72,0
D512-2,15.2,3.83,1.18194E+20,35.9,35900,5.98,8.09,8090,20.08,20080,0,0,1.79,0
D564-8,8.79,0.51,1.57386E+19,8.54,8540,1.53,3.47,3470,6.36,6360,0,0,6.37,0
D564-8,8.79,1.02,3.14772E+19,15.1,15100,1.41,5.33,5330,8.66,8660,0,0,2.82,0
D564-8,8.79,1.53,4.72158E+19,19.8,19800,1.8,6.34,6340,9.09,9090,0,0,1.19,0
D564-8,8.79,2.04,6.29544E+19,21.9,21900,1.82,6.86,6860,8.75,8750,0,0,0.52,0
D564-8,8.79,2.56,7.90016E+19,24,24000,1.89,7.05,7050,8.17,8170,0,0,0.22,0
D564-8,8.79,3.07,9.47402E+19,25,25000,2.05,7.04,7040,7.65,7650,0,0,0,0
D631-7,7.72,0.45,1.3887E+19,8.41,8410,1.58,8.4,8400,9.99,9990,0,0,26.06,0
D631-7,7.72,0.9,2.7774E+19,17.8,17800,2.22,13.51,13510,15.52,15520,0,0,19.64,0
D631-7,7.72,1.35,4.1661E+19,26,26000,2.35,16.7,16700,20.76,20760,0,0,12.17,0
D631-7,7.72,1.8,5.5548E+19,30.9,30900,2.22,18.72,18720,21.37,21370,0,0,4.5,0
D631-7,7.72,2.25,6.9435E+19,34.7,34700,1.82,19.9,19900,19.92,19920,0,0,2.1,0
D631-7,7.72,2.69,8.30134E+19,38.8,38800,1.81,20.61,20610,18.76,18760,0,0,1.13,0
D631-7,7.72,3.14,9.69004E+19,42.5,42500,1.57,20.73,20730,17.36,17360,0,0,0.54,0
D631-7,7.72,3.59,1.10787E+20,45.6,45600,1.59,20.61,20610,16.32,16320,0,0,0.37,0
D631-7,7.72,4.04,1.24674E+20,48.8,48800,1.83,20.38,20380,15.37,15370,0,0,0.18,0
D631-7,7.72,4.49,1.38561E+20,51.8,51800,1.91,19.9,19900,14.49,14490,0,0,0.1,0
D631-7,7.72,4.94,1.52448E+20,54.8,54800,2.19,19.43,19430,13.72,13720,0,0,0.05,0
D631-7,7.72,5.39,1.66335E+20,56.6,56600,2.73,18.84,18840,13.04,13040,0,0,0.03,0
D631-7,7.72,5.84,1.80222E+20,58.4,58400,3.27,18.25,18250,12.45,12450,0,0,0.01,0
D631-7,7.72,6.29,1.94109E+20,58.5,58500,3.95,17.65,17650,11.93,11930,0,0,0.01,0
D631-7,7.72,6.74,2.07996E+20,57.7,57700,4.07,17.06,17060,11.48,11480,0,0,0,0
D631-7,7.72,7.19,2.21883E+20,57.3,57300,3.94,16.47,16470,11.08,11080,0,0,0,0
DDO064,6.8,0.1,3.086E+18,6.29,6290,4.62,-1.13,-1130,1.96,1960,0,0,28.5,0
DDO064,6.8,0.3,9.258E+18,13.9,13900,4.62,-2.45,-2450,6.31,6310,0,0,27.26,0
DDO064,6.8,0.49,1.51214E+19,15.6,15600,4.62,-0.64,-640,9.67,9670,0,0,24.99,0
DDO064,6.8,0.69,2.12934E+19,18.4,18400,4.62,2.49,2490,13.92,13920,0,0,20.86,0
DDO064,6.8,0.89,2.74654E+19,22.5,22500,4.62,1.87,1870,15.16,15160,0,0,13.91,0
DDO064,6.8,1.09,3.36374E+19,26.5,26500,4.62,4.97,4970,16.41,16410,0,0,11.73,0
DDO064,6.8,1.29,3.98094E+19,35.3,35300,4.62,9.29,9290,17.34,17340,0,0,10.3,0
DDO064,6.8,1.48,4.56728E+19,40.5,40500,4.62,13.62,13620,18.34,18340,0,0,7.96,0
DDO064,6.8,1.68,5.18448E+19,44.2,44200,4.89,16.26,16260,19.12,19120,0,0,6.72,0
DDO064,6.8,1.88,5.80168E+19,46.3,46300,4.62,18.16,18160,19.54,19540,0,0,3.97,0
DDO064,6.8,2.08,6.41888E+19,46.4,46400,4.62,19.64,19640,19.1,19100,0,0,2.84,0
DDO064,6.8,2.27,7.00522E+19,46.3,46300,4.62,20.17,20170,18.77,18770,0,0,2.16,0
DDO064,6.8,2.37,7.31382E+19,46.4,46400,6.73,20.59,20590,18.61,18610,0,0,1.86,0
DDO064,6.8,2.98,9.19628E+19,46.9,46900,8.65,22.17,22170,17.21,17210,0,0,0,0
DDO154,4.04,0.49,1.51214E+19,13.8,13800,1.6,3.74,3740,12.31,12310,0,0,15.93,0
DDO154,4.04,0.99,3.05514E+19,21.6,21600,0.8,7.46,7460,14.55,14550,0,0,5.52,0
DDO154,4.04,1.48,4.56728E+19,28.9,28900,0.7,10.87,10870,12.95,12950,0,0,1.26,0
DDO154,4.04,1.97,6.07942E+19,34.3,34300,0.5,13.32,13320,11.54,11540,0,0,0.29,0
DDO154,4.04,2.47,7.62242E+19,38.2,38200,0.4,14.77,14770,10.18,10180,0,0,0.08,0
DDO154,4.04,2.96,9.13456E+19,42,42000,0.2,16.2,16200,9.16,9160,0,0,0.02,0
DDO154,4.04,3.46,1.06776E+20,44.6,44600,0.2,17.6,17600,8.37,8370,0,0,0.01,0
DDO154,4.04,3.95,1.21897E+20,46.3,46300,0.2,17.91,17910,7.77,7770,0,0,0,0
DDO154,4.04,4.44,1.37018E+20,47.4,47400,0.3,17.48,17480,7.29,7290,0,0,0,0
DDO154,4.04,4.94,1.52448E+20,48.2,48200,0.6,16.93,16930,6.89,6890,0,0,0,0
DDO154,4.04,5.43,1.6757E+20,47.4,47400,0.7,16.28,16280,6.55,6550,0,0,0,0
DDO154,4.04,5.92,1.82691E+20,45.5,45500,1.3,15.64,15640,6.26,6260,0,0,0,0
DDO161,7.5,0.6,1.8516E+19,16,16000,3.53,6.82,6820,12.59,12590,0,0,30.32,0
DDO161,7.5,0.73,2.25278E+19,16.6,16600,4.83,8.12,8120,14.22,14220,0,0,27.69,0
DDO161,7.5,0.85,2.6231E+19,18.6,18600,2.5,9.3,9300,15.27,15270,0,0,27.15,0
DDO161,7.5,0.98,3.02428E+19,20,20000,7.58,10.41,10410,17.04,17040,0,0,25.71,0
DDO161,7.5,1.07,3.30202E+19,21.4,21400,4.03,11.27,11270,18.03,18030,0,0,24.23,0
DDO161,7.5,1.54,4.75244E+19,28.9,28900,2.74,15.22,15220,22.44,22440,0,0,17.21,0
DDO161,7.5,2.02,6.23372E+19,32.9,32900,2.65,18.74,18740,24.92,24920,0,0,11.77,0
DDO161,7.5,2.49,7.68414E+19,35.2,35200,2.88,21.52,21520,25.85,25850,0,0,7.54,0
DDO161,7.5,2.96,9.13456E+19,37.6,37600,3.05,23.28,23280,26.01,26010,0,0,5.12,0
DDO161,7.5,3.43,1.0585E+20,40.6,40600,3.68,24.59,24590,25.36,25360,0,0,3.64,0
DDO161,7.5,3.9,1.20354E+20,42.7,42700,3.25,25.62,25620,25.01,25010,0,0,2.55,0
DDO161,7.5,4.37,1.34858E+20,45.5,45500,2.99,26.35,26350,24.48,24480,0,0,1.74,0
DDO161,7.5,4.86,1.4998E+20,48.9,48900,1.96,27.08,27080,23.7,23700,0,0,1.09,0
DDO161,7.5,5.34,1.64792E+20,51.5,51500,1.53,27.81,27810,22.69,22690,0,0,0.64,0
DDO161,7.5,5.81,1.79297E+20,53,53000,1.86,28.4,28400,21.59,21590,0,0,0.46,0
DDO161,7.5,6.28,1.93801E+20,55,55000,1.48,28.98,28980,20.86,20860,0,0,0.36,0
DDO161,7.5,6.75,2.08305E+20,57.6,57600,0.99,29.57,29570,20.11,20110,0,0,0.24,0
DDO161,7.5,7.22,2.22809E+20,59.7,59700,1.19,30.3,30300,19.38,19380,0,0,0.16,0
DDO161,7.5,7.69,2.37313E+20,60.5,60500,1.26,31.18,31180,18.7,18700,0,0,0.11,0
DDO161,7.5,8.16,2.51818E+20,61.8,61800,1.33,32.06,32060,18.06,18060,0,0,0.07,0
DDO161,7.5,8.64,2.6663E+20,62.9,62900,1.35,32.64,32640,17.47,17470,0,0,0.05,0
DDO161,7.5,9.11,2.81135E+20,63,63000,2.09,33.23,33230,16.94,16940,0,0,0.03,0
DDO161,7.5,9.58,2.95639E+20,64.5,64500,2.38,33.38,33380,16.44,16440,0,0,0.02,0
DDO161,7.5,10.05,3.10143E+20,65.6,65600,1.08,33.38,33380,15.98,15980,0,0,0.02,0
DDO161,7.5,10.52,3.24647E+20,67.5,67500,3.22,32.79,32790,15.57,15570,0,0,0.01,0
DDO161,7.5,10.99,3.39151E+20,66.8,66800,2.37,32.06,32060,15.18,15180,0,0,0.01,0
DDO161,7.5,11.46,3.53656E+20,66.8,66800,0.95,31.18,31180,14.81,14810,0,0,0,0
DDO161,7.5,11.94,3.68468E+20,66.6,66600,0.96,30.3,30300,14.47,14470,0,0,0,0
DDO161,7.5,12.41,3.82973E+20,66.8,66800,0.99,29.42,29420,14.16,14160,0,0,0,0
DDO161,7.5,12.9,3.98094E+20,66.3,66300,0.74,28.69,28690,13.86,13860,0,0,0,0
DDO161,7.5,13.37,4.12598E+20,66.1,66100,1.31,27.81,27810,13.59,13590,0,0,0,0
DDO168,4.25,0.41,1.26526E+19,15,15000,4.1,10.41,10410,8.28,8280,0,0,20.43,0
DDO168,4.25,0.82,2.53052E+19,23.4,23400,1.3,18.08,18080,12.66,12660,0,0,14.59,0
DDO168,4.25,1.24,3.82664E+19,29.2,29200,1.5,20.09,20090,15.11,15110,0,0,8.79,0
DDO168,4.25,1.64,5.06104E+19,36.2,36200,1.1,20.2,20200,15.99,15990,0,0,5.9,0
DDO168,4.25,2.06,6.35716E+19,44,44000,1.1,22,22000,16.89,16890,0,0,4.09,0
DDO168,4.25,2.47,7.62242E+19,52.1,52100,1.2,22.63,22630,17.03,17030,0,0,2.87,0
DDO168,4.25,2.89,8.91854E+19,52.9,52900,1.7,22.95,22950,16.99,16990,0,0,2.09,0
DDO168,4.25,3.3,1.01838E+20,54.8,54800,2.2,22.74,22740,17.19,17190,0,0,1.56,0
DDO168,4.25,3.71,1.14491E+20,55,55000,2.5,22.74,22740,17.16,17160,0,0,0.82,0
DDO168,4.25,4.12,1.27143E+20,52,52000,2.7,22.74,22740,16.37,16370,0,0,0,0
DDO170,15.4,1.87,5.77082E+19,27.7,27700,3,8.68,8680,18.19,18190,0,0,9.38,0
DDO170,15.4,3.36,1.0369E+20,42.4,42400,1.5,15.07,15070,19.75,19750,0,0,3.58,0
DDO170,15.4,4.86,1.4998E+20,52.5,52500,1,20.59,20590,19.94,19940,0,0,2.02,0
DDO170,15.4,6.35,1.95961E+20,55.6,55600,1,24.61,24610,19.17,19170,0,0,0.91,0
DDO170,15.4,7.85,2.42251E+20,58.6,58600,1.1,26.94,26940,18.71,18710,0,0,0.47,0
DDO170,15.4,9.34,2.88232E+20,59,59000,1.2,27.6,27600,17.41,17410,0,0,0.18,0
DDO170,15.4,10.83,3.34214E+20,60,60000,1.3,26.77,26770,16.05,16050,0,0,0.09,0
DDO170,15.4,12.33,3.80504E+20,62.2,62200,1,24.9,24900,15.01,15010,0,0,0,0
ESO079-G014,28.7,0.41,1.26526E+19,33.2,33200,11.6,2.21,2210,28.95,28950,0,0,455.28,0
ESO079-G014,28.7,0.98,3.02428E+19,50.4,50400,11.8,4.41,4410,47.6,47600,0,0,284.5,0
ESO079-G014,28.7,1.78,5.49308E+19,53.9,53900,9.75,6.75,6750,62.09,62090,0,0,213.32,0
ESO079-G014,28.7,2.69,8.30134E+19,67.6,67600,5.1,8.55,8550,75.48,75480,0,0,152.2,0
ESO079-G014,28.7,3.36,1.0369E+20,81.7,81700,5.06,9.18,9180,82.21,82210,0,0,142.61,0
ESO079-G014,28.7,4.39,1.35475E+20,102,102000,5.35,9.29,9290,86.87,86870,0,0,105.73,0
ESO079-G014,28.7,5.65,1.74359E+20,116,116000,6.44,9.5,9500,92.23,92230,0,0,92.69,0
ESO079-G014,28.7,6.34,1.95652E+20,132,132000,9.1,10.22,10220,96.19,96190,0,0,89.82,0
ESO079-G014,28.7,6.89,2.12625E+20,137,137000,5.25,11.87,11870,100.53,100530,0,0,87.61,0
ESO079-G014,28.7,8.34,2.57372E+20,154,154000,4.2,17.23,17230,113.81,113810,0,0,78.45,0
ESO079-G014,28.7,10.04,3.09834E+20,163,163000,3.28,24.23,24230,128.72,128720,0,0,58.05,0
ESO079-G014,28.7,11.65,3.59519E+20,170,170000,2.41,30.75,30750,133.41,133410,0,0,39.79,0
ESO079-G014,28.7,13.36,4.1229E+20,175,175000,2.18,36.2,36200,132.99,132990,0,0,23.18,0
ESO079-G014,28.7,15.06,4.64752E+20,177,177000,2.23,39.42,39420,128.51,128510,0,0,15.89,0
ESO079-G014,28.7,16.67,5.14436E+20,178,178000,2.03,40.49,40490,124.23,124230,0,0,10.92,0
ESO116-G012,13,0.25,7.715E+18,20.9,20900,3.4,-0.22,-220,17.33,17330,0,0,276.94,0
ESO116-G012,13,0.83,2.56138E+19,40,40000,3.29,-1.8,-1800,34.96,34960,0,0,168.99,0
ESO116-G012,13,1.38,4.25868E+19,51.5,51500,2.96,-1.55,-1550,51.34,51340,0,0,141.01,0
ESO116-G012,13,1.85,5.7091E+19,67.9,67900,3.45,5.01,5010,61.73,61730,0,0,81.24,0
ESO116-G012,13,2.68,8.27048E+19,80.2,80200,2.93,12.54,12540,60.49,60490,0,0,46.01,0
ESO116-G012,13,3.19,9.84434E+19,83.3,83300,3.08,16.68,16680,63.17,63170,0,0,41.4,0
ESO116-G012,13,3.68,1.13565E+20,91.4,91400,2.83,20.19,20190,65.14,65140,0,0,30.23,0
ESO116-G012,13,4.13,1.27452E+20,102,102000,5.4,22.31,22310,66.32,66320,0,0,24.2,0
ESO116-G012,13,5.23,1.61398E+20,105,105000,4.21,25.63,25630,64.52,64520,0,0,9.48,0
ESO116-G012,13,6.05,1.86703E+20,109,109000,2.1,27.28,27280,60.09,60090,0,0,3.57,0
ESO116-G012,13,6.81,2.10157E+20,108,108000,2.1,28.58,28580,55.74,55740,0,0,2.78,0
ESO116-G012,13,7.56,2.33302E+20,109,109000,2.1,30.7,30700,53.61,53610,0,0,2.04,0
ESO116-G012,13,8.32,2.56755E+20,110,110000,2.1,33.83,33830,51.18,51180,0,0,1.21,0
ESO116-G012,13,9.09,2.80517E+20,111,111000,2.33,35.49,35490,49.08,49080,0,0,0.72,0
ESO116-G012,13,9.86,3.0428E+20,112,112000,4.74,33.74,33740,46.34,46340,0,0,0,0
ESO444-G084,4.83,0.26,8.0236E+18,18.3,18300,1.8,4.59,4590,8.31,8310,0,0,31.29,0
ESO444-G084,4.83,0.77,2.37622E+19,35.3,35300,3,11.55,11550,14.79,14790,0,0,10.44,0
ESO444-G084,4.83,1.29,3.98094E+19,47.8,47800,4.63,16.45,16450,14.54,14540,0,0,3.29,0
ESO444-G084,4.83,1.81,5.58566E+19,52.8,52800,1.26,19.03,19030,13.66,13660,0,0,1.03,0
ESO444-G084,4.83,2.32,7.15952E+19,58,58000,3.11,20.09,20090,12.28,12280,0,0,0.34,0
ESO444-G084,4.83,3.39,1.04615E+20,63.1,63100,1.35,17.39,17390,9.97,9970,0,0,0.03,0
ESO444-G084,4.83,4.44,1.37018E+20,62.7,62700,7.36,14.45,14450,8.53,8530,0,0,0,0
ESO563-G021,60.8,0.45,1.3887E+19,18.9,18900,9.78,0,0,65.19,65190,0,0,2096.34,0
ESO563-G021,60.8,1.34,4.13524E+19,58.3,58300,10.5,0,0,120.17,120170,0,0,997.68,0
ESO563-G021,60.8,2.23,6.88178E+19,74.1,74100,5.69,0,0,137.48,137480,0,0,691.26,0
ESO563-G021,60.8,3.12,9.62832E+19,119,119000,4.27,0,0,146.18,146180,0,0,574.33,0
ESO563-G021,60.8,4.01,1.23749E+20,141,141000,3.76,0,0,157.86,157860,0,0,548.02,0
ESO563-G021,60.8,4.9,1.51214E+20,195,195000,4.54,0,0,175.79,175790,0,0,524.14,0
ESO563-G021,60.8,5.79,1.78679E+20,227,227000,4.2,0,0,199.19,199190,0,0,483.52,0
ESO563-G021,60.8,6.69,2.06453E+20,246,246000,4.24,0,0,217.87,217870,0,0,426.75,0
ESO563-G021,60.8,7.58,2.33919E+20,268,268000,5.56,0,0,228.65,228650,0,0,376.92,0
ESO563-G021,60.8,8.47,2.61384E+20,283,283000,2.96,0,0,241.76,241760,0,0,345.98,0
ESO563-G021,60.8,10.23,3.15698E+20,291,291000,9.81,0,0,260.94,260940,0,0,282.74,0
ESO563-G021,60.8,12.06,3.72172E+20,310,310000,4.74,0.04,40,275.04,275040,0,0,199.54,0
ESO563-G021,60.8,13.44,4.14758E+20,310,310000,20.4,0.4,400,277.98,277980,0,0,164.72,0
ESO563-G021,60.8,15.18,4.68455E+20,310,310000,16.1,3.11,3110,282.25,282250,0,0,131.46,0
ESO563-G021,60.8,16.83,5.19374E+20,314,314000,13.5,15.18,15180,283.33,283330,0,0,96.52,0
ESO563-G021,60.8,18.56,5.72762E+20,317,317000,12.7,22.91,22910,276.47,276470,0,0,70.44,0
ESO563-G021,60.8,20.3,6.26458E+20,319,319000,10.4,33.06,33060,272.19,272190,0,0,62.6,0
ESO563-G021,60.8,21.94,6.77068E+20,318,318000,10.8,33.62,33620,273,273000,0,0,50.58,0
ESO563-G021,60.8,23.68,7.30765E+20,317,317000,9.3,39.67,39670,271.34,271340,0,0,32.65,0
ESO563-G021,60.8,25.41,7.84153E+20,317,317000,7.23,44.98,44980,261.62,261620,0,0,19.67,0
ESO563-G021,60.8,27.06,8.35072E+20,312,312000,8.39,46.29,46290,252.97,252970,0,0,13.79,0
ESO563-G021,60.8,28.8,8.88768E+20,312,312000,8.37,43.21,43210,243.84,243840,0,0,7.98,0
ESO563-G021,60.8,30.53,9.42156E+20,311,311000,11.5,45.08,45080,233.85,233850,0,0,4.31,0
ESO563-G021,60.8,32.18,9.93075E+20,310,310000,14.5,52.43,52430,224.75,224750,0,0,2.73,0
ESO563-G021,60.8,33.91,1.04646E+21,313,313000,15.9,59.7,59700,216.21,216210,0,0,1.63,0
ESO563-G021,60.8,35.65,1.10016E+21,320,320000,8.83,61.56,61560,208.83,208830,0,0,1.34,0
ESO563-G021,60.8,37.3,1.15108E+21,321,321000,7.88,63.33,63330,202.65,202650,0,0,0.94,0
ESO563-G021,60.8,39.03,1.20447E+21,320,320000,8,62.96,62960,196.77,196770,0,0,0.72,0
ESO563-G021,60.8,40.76,1.25785E+21,315,315000,9.82,62.4,62400,191.39,191390,0,0,0.59,0
ESO563-G021,60.8,42.41,1.30877E+21,312,312000,9.07,62.21,62210,186.89,186890,0,0,0.59,0
F561-1,66.4,1.61,4.96846E+19,23.4,23400,10,5.21,5210,28.61,28610,0,0,43.88,0
F561-1,66.4,3.23,9.96778E+19,40.6,40600,5,10.57,10570,37.58,37580,0,0,19.59,0
F561-1,66.4,4.84,1.49362E+20,45.5,45500,5,15.71,15710,39.1,39100,0,0,14.19,0
F561-1,66.4,6.45,1.99047E+20,49.2,49200,5,20.94,20940,44.01,44010,0,0,11.07,0
F561-1,66.4,8.06,2.48732E+20,50.4,50400,5,25.97,25970,48.52,48520,0,0,7.95,0
F561-1,66.4,9.66,2.98108E+20,50.4,50400,5,29.26,29260,49.44,49440,0,0,3.35,0
F563-1,48.9,1.07,3.30202E+19,22.1,22100,7.17,1.98,1980,18.3,18300,0,0,33.42,0
F563-1,48.9,1.78,5.49308E+19,42.7,42700,10.66,4.03,4030,24.51,24510,0,0,20.43,0
F563-1,48.9,2.49,7.68414E+19,60.6,60600,7.69,6.25,6250,27.45,27450,0,0,14.31,0
F563-1,48.9,2.97,9.16542E+19,76.8,76800,11.1,7.78,7780,28.28,28280,0,0,9.63,0
F563-1,48.9,3.04,9.38144E+19,81.6,81600,17.5,8.01,8010,28.2,28200,0,0,9.31,0
F563-1,48.9,3.19,9.84434E+19,87,87000,8.93,8.49,8490,28.16,28160,0,0,9.15,0
F563-1,48.9,6.95,2.14477E+20,90,90000,24.8,17.83,17830,29.57,29570,0,0,3.35,0
F563-1,48.9,8.58,2.64779E+20,97.8,97800,9.4,22.83,22830,29.09,29090,0,0,1.88,0
F563-1,48.9,9.26,2.85764E+20,93.7,93700,25.3,24.91,24910,28.73,28730,0,0,1.68,0
F563-1,48.9,9.89,3.05205E+20,103,103000,23.8,26.69,26690,28.7,28700,0,0,1.49,0
F563-1,48.9,10.08,3.11069E+20,97.4,97400,11,27.31,27310,28.73,28730,0,0,1.43,0
F563-1,48.9,11.84,3.65382E+20,106.5,106500,9.48,30.86,30860,27.77,27770,0,0,0.72,0
F563-1,48.9,14.56,4.49322E+20,112,112000,11,30.44,30440,25.73,25730,0,0,0.36,0
F563-1,48.9,15.43,4.7617E+20,111.5,111500,9.4,30.7,30700,25.11,25110,0,0,0.28,0
F563-1,48.9,17.93,5.5332E+20,111,111000,24.3,33.36,33360,23.48,23480,0,0,0.14,0
F563-1,48.9,19.02,5.86957E+20,112.5,112500,7.75,34.35,34350,22.95,22950,0,0,0.1,0
F563-1,48.9,20.1,6.20286E+20,106,106000,10.7,35.34,35340,22.07,22070,0,0,0,0
F563-V1,54,1.31,4.04266E+19,12,12000,5,4.66,4660,11.06,11060,0,0,12.6,0
F563-V1,54,2.63,8.11618E+19,21.7,21700,5,9.66,9660,16.85,16850,0,0,9.31,0
F563-V1,54,3.93,1.2128E+20,28.6,28600,5,13.79,13790,23.41,23410,0,0,7.16,0
F563-V1,54,5.24,1.61706E+20,29.5,29500,5,16.46,16460,24.18,24180,0,0,3.64,0
F563-V1,54,6.55,2.02133E+20,28.6,28600,5,18.52,18520,23.59,23590,0,0,2.39,0
F563-V1,54,7.87,2.42868E+20,27.3,27300,5,20.17,20170,23.33,23330,0,0,2.56,0
F563-V2,59.7,0.28,8.6408E+18,11.9,11900,7.89,0.95,950,6.22,6220,0,0,68,0
F563-V2,59.7,0.87,2.68482E+19,34.8,34800,7.89,2.93,2930,17.64,17640,0,0,60.24,0
F563-V2,59.7,1.46,4.50556E+19,58.5,58500,8.68,4.98,4980,27.33,27330,0,0,50.99,0
F563-V2,59.7,2.05,6.3263E+19,81.5,81500,14.2,7.2,7200,35.16,35160,0,0,39.39,0
F563-V2,59.7,2.35,7.2521E+19,91.8,91800,17.5,8.24,8240,37.71,37710,0,0,33.19,0
F563-V2,59.7,4.76,1.46894E+20,114,114000,8.68,16.62,16620,45.06,45060,0,0,10.8,0
F563-V2,59.7,7.86,2.4256E+20,116,116000,8.68,34.33,34330,41.16,41160,0,0,3.01,0
F563-V2,59.7,8.7,2.68482E+20,117,117000,16.6,39.57,39570,40.09,40090,0,0,2.22,0
F563-V2,59.7,10.18,3.14155E+20,118,118000,51.9,39.57,39570,38.11,38110,0,0,1.34,0
F563-V2,59.7,10.47,3.23104E+20,118,118000,40.3,39.57,39570,37.78,37780,0,0,1.24,0
F565-V2,51.8,1.26,3.88836E+19,21.7,21700,10,5.7,5700,11.4,11400,0,0,12.58,0
F565-V2,51.8,2.51,7.74586E+19,40.3,40300,10,10.7,10700,17.23,17230,0,0,5.69,0
F565-V2,51.8,3.78,1.16651E+20,57.7,57700,7,14.75,14750,19.15,19150,0,0,4.01,0
F565-V2,51.8,5.03,1.55226E+20,68.5,68500,7,18.18,18180,18.51,18510,0,0,1.6,0
F565-V2,51.8,6.29,1.94109E+20,73.5,73500,7,21.5,21500,20.41,20410,0,0,1.58,0
F565-V2,51.8,7.54,2.32684E+20,78.5,78500,5,24.72,24720,20.52,20520,0,0,0.6,0
F565-V2,51.8,8.8,2.71568E+20,83.1,83100,6,27.11,27110,18.68,18680,0,0,0.21,0
F567-2,79,1.92,5.92512E+19,26.9,26900,8,-8.25,-8250,24.52,24520,0,0,22.17,0
F567-2,79,3.83,1.18194E+20,46.8,46800,5,-11.91,-11910,32.41,32410,0,0,10.5,0
F567-2,79,5.75,1.77445E+20,47.6,47600,5,-2.02,-2020,32.86,32860,0,0,5,0
F567-2,79,7.67,2.36696E+20,48.1,48100,8,17.45,17450,32.97,32970,0,0,3.29,0
F567-2,79,9.59,2.95947E+20,52.2,52200,10,24.22,24220,33.05,33050,0,0,1.99,0
F568-1,90.7,0.44,1.35784E+19,15.7,15700,9.1,-2.08,-2080,12.26,12260,0,0,98.11,0
F568-1,90.7,1.32,4.07352E+19,44.5,44500,9.1,-5.39,-5390,28.49,28490,0,0,57.84,0
F568-1,90.7,2.2,6.7892E+19,69.4,69400,9.1,-6.26,-6260,35.84,35840,0,0,38.81,0
F568-1,90.7,3.08,9.50488E+19,90,90000,11.4,-3.53,-3530,40.15,40150,0,0,24.49,0
F568-1,90.7,3.96,1.22206E+20,105,105000,9.88,1.83,1830,41.23,41230,0,0,19.47,0
F568-1,90.7,4.84,1.49362E+20,113,113000,16.2,8.4,8400,42.44,42440,0,0,16.02,0
F568-1,90.7,5.53,1.70656E+20,117,117000,24.8,13.64,13640,43.19,43190,0,0,13.79,0
F568-1,90.7,7.48,2.30833E+20,124,124000,9.1,27.27,27270,47.2,47200,0,0,10.81,0
F568-1,90.7,8.37,2.58298E+20,127,127000,9.1,32.13,32130,48.6,48600,0,0,8.48,0
F568-1,90.7,9.24,2.85146E+20,130,130000,9.1,36.26,36260,48.96,48960,0,0,6.88,0
F568-1,90.7,10.13,3.12612E+20,133,133000,9.1,39.77,39770,48.92,48920,0,0,5.7,0
F568-1,90.7,13.23,4.08278E+20,142,142000,23.8,47.41,47410,49.96,49960,0,0,3.23,0
F568-3,82.4,0.64,1.97504E+19,12.4,12400,8.6,1.18,1180,13.56,13560,0,0,67.54,0
F568-3,82.4,1.18,3.64148E+19,21.9,21900,6.2,1.55,1550,21.17,21170,0,0,56.11,0
F568-3,82.4,1.8,5.5548E+19,32.3,32300,1.88,1.6,1600,27.72,27720,0,0,46.3,0
F568-3,82.4,2.03,6.26458E+19,37.9,37900,6.2,1.54,1540,29.76,29760,0,0,44.1,0
F568-3,82.4,2.78,8.57908E+19,53.1,53100,9.5,1.46,1460,36.4,36400,0,0,37.67,0
F568-3,82.4,3,9.258E+19,62.4,62400,11,1.62,1620,38.08,38080,0,0,35.56,0
F568-3,82.4,3.64,1.1233E+20,68,68000,6.2,2.96,2960,42.4,42400,0,0,30.26,0
F568-3,82.4,4.19,1.29303E+20,78,78000,7.98,5.28,5280,45.43,45430,0,0,25.29,0
